num_samples,L,Lvalid
141000,650.793461823,594.912217227
141000,650.793461823,594.912217227
142500,648.354564928,596.490860543
142500,648.354564928,596.490860543
144000,648.77115522,598.221244159
144000,648.77115522,598.221244159
145500,653.828483629,603.658800695
145500,653.828483629,603.658800695
147000,648.946344608,604.34957169
147000,648.946344608,604.34957169
148500,656.110324983,603.05261203
148500,656.110324983,603.05261203
150000,647.781158176,580.185615807
150000,647.781158176,580.185615807
151500,649.094059118,595.183734207
151500,649.094059118,595.183734207
153000,655.310450047,607.15582105
153000,655.310450047,607.15582105
154500,655.784496369,599.9909612
154500,655.784496369,599.9909612
156000,654.882097462,581.542999312
156000,654.882097462,581.542999312
157500,654.988480226,608.644271019
157500,654.988480226,608.644271019
159000,647.141838146,610.402269184
159000,647.141838146,610.402269184
160500,653.760225311,603.65444149
160500,653.760225311,603.65444149
162000,657.482365632,592.537090092
162000,657.482365632,592.537090092
163500,659.765015308,606.757539272
163500,659.765015308,606.757539272
165000,658.981146838,602.760471519
165000,658.981146838,602.760471519
166500,660.958825387,609.669629878
166500,660.958825387,609.669629878
168000,660.154938231,597.08612383
168000,660.154938231,597.08612383
169500,660.361241742,614.251304315
169500,660.361241742,614.251304315
171000,661.712280183,599.260081639
171000,661.712280183,599.260081639
172500,654.924429407,608.077721095
172500,654.924429407,608.077721095
174000,661.02157078,596.549038773
174000,661.02157078,596.549038773
175500,661.686447523,596.449032325
175500,661.686447523,596.449032325
177000,662.633344244,603.27601245
177000,662.633344244,603.27601245
178500,658.750532053,607.452845329
178500,658.750532053,607.452845329
180000,655.462861257,603.516727182
180000,655.462861257,603.516727182
181500,662.684699717,599.991238573
181500,662.684699717,599.991238573
183000,662.523143583,605.556675511
183000,662.523143583,605.556675511
184500,661.598206482,592.763692802
184500,661.598206482,592.763692802
186000,663.41087991,598.382350487
186000,663.41087991,598.382350487
187500,660.186616027,599.507424979
187500,660.186616027,599.507424979
189000,663.470247122,599.960592707
189000,663.470247122,599.960592707
190500,668.58138755,595.025804057
190500,668.58138755,595.025804057
192000,661.399212727,604.540790563
192000,661.399212727,604.540790563
193500,663.744162145,605.077647864
193500,663.744162145,605.077647864
195000,665.280833957,600.606402226
195000,665.280833957,600.606402226
196500,663.097896489,601.672744199
196500,663.097896489,601.672744199
198000,665.089405236,606.458380776
198000,665.089405236,606.458380776
199500,663.015005617,610.95656102
199500,663.015005617,610.95656102
201000,664.55400192,578.281695254
201000,664.55400192,578.281695254
202500,662.073218575,600.540391634
202500,662.073218575,600.540391634
204000,669.358764665,608.791839616
204000,669.358764665,608.791839616
205500,672.259114495,594.262257404
205500,672.259114495,594.262257404
207000,664.82138368,598.63499338
207000,664.82138368,598.63499338
208500,666.129704316,610.056841837
208500,666.129704316,610.056841837
210000,670.312955371,610.658195685
210000,670.312955371,610.658195685
211500,669.909564643,609.457310216
211500,669.909564643,609.457310216
213000,669.054587136,597.276382018
213000,669.054587136,597.276382018
214500,669.906872295,611.75052323
214500,669.906872295,611.75052323
216000,671.206022713,605.490832597
216000,671.206022713,605.490832597
217500,670.383286924,607.8870856
217500,670.383286924,607.8870856
219000,669.770708811,606.980047263
219000,669.770708811,606.980047263
220500,670.209436667,594.579613422
220500,670.209436667,594.579613422
222000,670.468327165,546.738383849
222000,670.468327165,546.738383849
223500,664.2637665,596.889197818
223500,664.2637665,596.889197818
225000,674.331883475,608.013853119
225000,674.331883475,608.013853119
226500,673.230775924,598.551869013
226500,673.230775924,598.551869013
228000,673.662285191,604.922568803
228000,673.662285191,604.922568803
229500,673.082455172,610.358134657
229500,673.082455172,610.358134657
231000,673.096474746,600.804385621
231000,673.096474746,600.804385621
232500,673.590219894,600.070767535
232500,673.590219894,600.070767535
234000,672.062005816,604.637612834
234000,672.062005816,604.637612834
235500,672.705676717,605.515096295
235500,672.705676717,605.515096295
237000,674.275952489,622.181810977
237000,674.275952489,622.181810977
238500,674.348204687,604.087073831
238500,674.348204687,604.087073831
240000,674.279530389,598.380035458
240000,674.279530389,598.380035458
241500,666.003586187,599.474195209
241500,666.003586187,599.474195209
243000,664.520888036,604.035920535
243000,664.520888036,604.035920535
244500,671.934340331,602.911071542
244500,671.934340331,602.911071542
246000,676.355988364,606.394738977
246000,676.355988364,606.394738977
247500,676.650112649,616.762341046
247500,676.650112649,616.762341046
249000,674.047280618,608.5958408
249000,674.047280618,608.5958408
250500,676.487618087,609.828080613
250500,676.487618087,609.828080613
252000,677.412312418,606.903738791
252000,677.412312418,606.903738791
253500,677.654116991,599.500993671
253500,677.654116991,599.500993671
255000,674.319989904,600.727135943
255000,674.319989904,600.727135943
256500,676.045153696,602.304496985
256500,676.045153696,602.304496985
258000,678.994401616,605.002226568
258000,678.994401616,605.002226568
259500,677.90727654,597.162879484
259500,677.90727654,597.162879484
261000,679.596713308,610.412724401
261000,679.596713308,610.412724401
262500,677.696566699,601.857564644
262500,677.696566699,601.857564644
264000,678.092213068,607.07310409
264000,678.092213068,607.07310409
265500,674.56679361,601.825535192
265500,674.56679361,601.825535192
267000,679.89739929,591.512290906
267000,679.89739929,591.512290906
268500,679.50023474,592.462357738
268500,679.50023474,592.462357738
270000,678.912388589,600.597945922
270000,678.912388589,600.597945922
271500,680.120935388,595.505571165
271500,680.120935388,595.505571165
273000,678.379111347,549.994791014
273000,678.379111347,549.994791014
274500,674.931534343,593.455827237
274500,674.931534343,593.455827237
276000,666.779586909,600.434332078
276000,666.779586909,600.434332078
277500,679.64661346,604.957473372
277500,679.64661346,604.957473372
279000,681.055633422,607.081050466
279000,681.055633422,607.081050466
280500,681.761461626,587.474055401
280500,681.761461626,587.474055401
282000,681.144042585,605.481438243
282000,681.144042585,605.481438243
283500,683.268624044,605.744726756
283500,683.268624044,605.744726756
285000,682.122995292,604.998478247
285000,682.122995292,604.998478247
286500,681.605518483,610.821497445
286500,681.605518483,610.821497445
288000,683.786693598,597.715546517
288000,683.786693598,597.715546517
289500,683.635130089,607.904935183
289500,683.635130089,607.904935183
291000,683.785373849,613.424387903
291000,683.785373849,613.424387903
292500,684.886189437,598.58104881
292500,684.886189437,598.58104881
294000,681.499491898,597.552741819
294000,681.499491898,597.552741819
295500,685.457121789,608.194775364
295500,685.457121789,608.194775364
297000,686.048603203,594.859751362
297000,686.048603203,594.859751362
298500,685.015706251,599.524973708
298500,685.015706251,599.524973708
300000,685.632048267,590.645811708
300000,685.632048267,590.645811708
301500,685.167079763,599.345712111
301500,685.167079763,599.345712111
303000,686.705074152,590.525649546
303000,686.705074152,590.525649546
304500,686.23193046,593.893650236
304500,686.23193046,593.893650236
306000,685.852916288,596.986588239
306000,685.852916288,596.986588239
307500,686.342905793,603.774236209
307500,686.342905793,603.774236209
309000,686.146910559,598.235721072
309000,686.146910559,598.235721072
310500,687.375600873,596.524740258
310500,687.375600873,596.524740258
312000,686.141596423,603.779648639
312000,686.141596423,603.779648639
313500,687.698392127,599.183110095
313500,687.698392127,599.183110095
315000,688.632179377,599.201271718
315000,688.632179377,599.201271718
316500,688.601589739,597.819202615
316500,688.601589739,597.819202615
318000,687.800195096,611.130094995
318000,687.800195096,611.130094995
319500,686.499942649,604.516803611
319500,686.499942649,604.516803611
321000,689.312057565,612.114767805
321000,689.312057565,612.114767805
322500,688.462521383,597.243269485
322500,688.462521383,597.243269485
324000,684.244400399,617.759162352
324000,684.244400399,617.759162352
325500,686.21911253,612.41238349
325500,686.21911253,612.41238349
327000,690.006037649,610.024282191
327000,690.006037649,610.024282191
328500,690.030113885,606.391058581
328500,690.030113885,606.391058581
330000,687.645831478,610.131303943
330000,687.645831478,610.131303943
331500,690.079690396,609.549296372
331500,690.079690396,609.549296372
333000,691.592585502,611.624651911
333000,691.592585502,611.624651911
334500,690.503554115,606.543660738
334500,690.503554115,606.543660738
336000,691.129202214,613.406883281
336000,691.129202214,613.406883281
337500,691.85211037,610.366765638
337500,691.85211037,610.366765638
339000,691.67716859,602.256824018
339000,691.67716859,602.256824018
340500,692.561159342,615.014846121
340500,692.561159342,615.014846121
342000,692.327199653,594.437850489
342000,692.327199653,594.437850489
343500,691.777577498,611.076391294
343500,691.777577498,611.076391294
345000,693.177529953,602.756599604
345000,693.177529953,602.756599604
346500,693.776426292,599.896159874
346500,693.776426292,599.896159874
348000,693.473698046,609.371841172
348000,693.473698046,609.371841172
349500,693.907304522,609.61894023
349500,693.907304522,609.61894023
351000,693.823920245,620.666026128
351000,693.823920245,620.666026128
352500,695.361624604,602.375513422
352500,695.361624604,602.375513422
354000,694.99240974,599.621221166
354000,694.99240974,599.621221166
355500,680.460757364,610.879254311
355500,680.460757364,610.879254311
357000,694.468565681,622.86574996
357000,694.468565681,622.86574996
358500,695.127144718,616.379593415
358500,695.127144718,616.379593415
360000,695.465911031,600.800277816
360000,695.465911031,600.800277816
361500,695.704699067,612.047583096
361500,695.704699067,612.047583096
363000,696.038540821,612.136896846
363000,696.038540821,612.136896846
364500,696.288819401,610.436890691
364500,696.288819401,610.436890691
366000,697.333870481,618.399732284
366000,697.333870481,618.399732284
367500,695.429600298,620.660217346
367500,695.429600298,620.660217346
369000,696.283246783,620.391418881
369000,696.283246783,620.391418881
370500,697.837729702,599.70169183
370500,697.837729702,599.70169183
372000,696.435831365,618.565199913
372000,696.435831365,618.565199913
373500,698.357522621,614.558723987
373500,698.357522621,614.558723987
375000,698.26740505,615.721223077
375000,698.26740505,615.721223077
376500,699.270409468,607.144224815
376500,699.270409468,607.144224815
378000,698.719395263,602.98688287
378000,698.719395263,602.98688287
379500,699.814877261,607.757553087
379500,699.814877261,607.757553087
381000,698.638506284,607.233205637
381000,698.638506284,607.233205637
382500,695.66351448,615.894203058
382500,695.66351448,615.894203058
384000,699.803854554,604.498609009
384000,699.803854554,604.498609009
385500,701.925129568,625.026322027
385500,701.925129568,625.026322027
387000,700.476832719,623.337268513
387000,700.476832719,623.337268513
388500,700.570658078,616.733014174
388500,700.570658078,616.733014174
390000,700.968148408,618.323113494
390000,700.968148408,618.323113494
391500,701.422765994,617.347762013
391500,701.422765994,617.347762013
393000,701.68551878,615.530014301
393000,701.68551878,615.530014301
394500,701.537062981,622.034338051
394500,701.537062981,622.034338051
396000,701.797105206,616.595628144
396000,701.797105206,616.595628144
397500,703.290682749,621.700807759
397500,703.290682749,621.700807759
399000,702.869869285,613.218499291
399000,702.869869285,613.218499291
400500,702.877302323,605.097181236
400500,702.877302323,605.097181236
402000,703.686351727,625.381000711
402000,703.686351727,625.381000711
403500,703.696159315,619.397542756
403500,703.696159315,619.397542756
405000,703.914705952,615.740255929
405000,703.914705952,615.740255929
406500,703.902507467,617.613576931
406500,703.902507467,617.613576931
408000,704.433691652,623.305339278
408000,704.433691652,623.305339278
409500,704.380846031,612.078606106
409500,704.380846031,612.078606106
411000,703.144797853,618.252193438
411000,703.144797853,618.252193438
412500,704.476981025,619.047725211
412500,704.476981025,619.047725211
414000,704.953578218,615.310803912
414000,704.953578218,615.310803912
415500,706.003603758,615.6714736
415500,706.003603758,615.6714736
417000,705.187154151,615.419632101
417000,705.187154151,615.419632101
418500,705.93246835,623.559033051
418500,705.93246835,623.559033051
420000,705.243716809,622.044761723
420000,705.243716809,622.044761723
421500,705.164127697,617.299484253
421500,705.164127697,617.299484253
423000,706.773665633,617.475093996
423000,706.773665633,617.475093996
424500,707.929864721,620.741727201
424500,707.929864721,620.741727201
426000,705.433237161,625.289794769
426000,705.433237161,625.289794769
427500,705.67139292,620.925561185
427500,705.67139292,620.925561185
429000,708.248904807,626.665114553
429000,708.248904807,626.665114553
430500,708.796608035,619.699944632
430500,708.796608035,619.699944632
432000,707.69401819,624.523102737
432000,707.69401819,624.523102737
433500,708.321388875,628.396606914
433500,708.321388875,628.396606914
435000,706.364486901,620.578785771
435000,706.364486901,620.578785771
436500,709.942716129,608.927041558
436500,709.942716129,608.927041558
438000,708.485123191,621.807886065
438000,708.485123191,621.807886065
439500,709.838458003,627.376407286
439500,709.838458003,627.376407286
441000,710.27002912,625.282073583
441000,710.27002912,625.282073583
442500,708.764170961,622.918161104
442500,708.764170961,622.918161104
444000,709.371155522,630.765929054
444000,709.371155522,630.765929054
445500,710.307704689,623.28568106
445500,710.307704689,623.28568106
447000,710.474463941,612.68782774
447000,710.474463941,612.68782774
448500,709.023321038,609.950643591
448500,709.023321038,609.950643591
450000,708.385584057,624.194181587
450000,708.385584057,624.194181587
451500,711.100374544,614.499658122
451500,711.100374544,614.499658122
453000,708.197773785,627.457920183
453000,708.197773785,627.457920183
454500,711.663102762,627.191680722
454500,711.663102762,627.191680722
456000,710.134021661,630.463517472
456000,710.134021661,630.463517472
457500,710.655573946,625.063468032
457500,710.655573946,625.063468032
459000,712.811745995,636.435183557
459000,712.811745995,636.435183557
460500,711.585976673,627.73683165
460500,711.585976673,627.73683165
462000,712.05212284,631.520433094
462000,712.05212284,631.520433094
463500,712.754509884,631.134745266
463500,712.754509884,631.134745266
465000,710.851388713,631.568544405
465000,710.851388713,631.568544405
466500,712.906434554,626.056708653
466500,712.906434554,626.056708653
468000,712.991637272,622.722704594
468000,712.991637272,622.722704594
