num_samples,L
50000,-197.120074554,-169.62828064
100000,-165.92096991,-162.487228394
150000,-162.100077301,-160.841781616
200000,-158.917227844,-157.790145874
250000,-157.037930725,-155.660675049
300000,-156.131152069,-155.044692993
350000,-155.591970459,-155.031829834
400000,-155.114992554,-154.253555298
450000,-154.700920715,-153.938354492
500000,-154.323152893,-153.482147217
550000,-153.914246307,-153.151443481
600000,-153.450055878,-152.588027954
650000,-152.965355804,-152.025054932
700000,-152.41114978,-151.418655396
750000,-151.87671463,-150.984207153
800000,-151.316252808,-150.327682495
850000,-150.758888458,-149.708282471
900000,-150.232553192,-149.218719482
950000,-149.687106934,-148.60836792
1000000,-149.207386139,-148.254547119
1050000,-148.720776611,-147.795150757
1100000,-148.257358704,-147.232421875
1150000,-147.836040375,-146.76739502
1200000,-147.345668427,-146.377685547
1250000,-146.929629059,-145.918655396
1300000,-146.49661145,-145.538452148
1350000,-146.100811615,-145.04850769
1400000,-145.686037415,-144.672180176
1450000,-145.292966034,-144.167022705
1500000,-144.904927841,-143.81086731
1550000,-144.513580292,-143.41708374
1600000,-144.163590271,-143.113525391
1650000,-143.817371231,-142.713272095
1700000,-143.451595581,-142.442169189
1750000,-143.126350174,-142.09928894
1800000,-142.79062616,-141.944549561
1850000,-142.503059235,-141.463104248
1900000,-142.176579208,-141.242782593
1950000,-141.88864801,-140.809020996
2000000,-141.598126694,-140.582321167
2050000,-141.324778442,-140.514373779
2100000,-141.049032593,-140.108047485
2150000,-140.77608667,-139.856643677
2200000,-140.525138199,-139.685974121
2250000,-140.280836929,-139.392868042
2300000,-140.065319839,-139.132354736
2350000,-139.820317841,-138.936645508
2400000,-139.587740158,-138.7784729
2450000,-139.353109787,-138.568023682
2500000,-139.13799939,-138.243499756
2550000,-138.925262772,-138.012771606
2600000,-138.721069916,-137.925094604
2650000,-138.523981674,-137.695281982
2700000,-138.32633844,-137.582351685
2750000,-138.141284164,-137.395019531
2800000,-137.966498657,-137.124557495
2850000,-137.796739136,-137.09336853
2900000,-137.607927948,-136.829147339
2950000,-137.445095001,-136.618392944
3000000,-137.257697922,-136.516647339
3050000,-137.102589462,-136.291564941
3100000,-136.943779572,-136.159484863
3150000,-136.79522995,-136.056533813
3200000,-136.627138474,-135.894470215
3250000,-136.498735748,-135.71661377
3300000,-136.350050568,-135.604415894
3350000,-136.192467056,-135.501342773
3400000,-136.07440976,-135.319900513
3450000,-135.961048508,-135.223846436
3500000,-135.823427048,-135.077468872
3550000,-135.668117798,-134.927947998
3600000,-135.544643326,-134.841964722
3650000,-135.409651825,-134.756195068
3700000,-135.311079773,-134.629364014
3750000,-135.172819504,-134.514343262
3800000,-135.040465607,-134.358123779
3850000,-134.93257814,-134.31451416
3900000,-134.837121567,-134.137542725
3950000,-134.706182938,-134.127075195
4000000,-134.591613815,-134.01461792
4050000,-134.478505112,-133.893325806
4100000,-134.397316452,-133.843551636
4150000,-134.279339691,-133.677474976
4200000,-134.189371338,-133.566680908
4250000,-134.085883026,-133.458435059
4300000,-133.987876022,-133.463546753
4350000,-133.899494919,-133.376251221
4400000,-133.791867844,-133.310379028
4450000,-133.703384979,-133.108169556
4500000,-133.590882309,-133.290298462
4550000,-133.518136642,-133.033721924
4600000,-133.410794128,-132.901504517
4650000,-133.317352203,-132.856155396
4700000,-133.252818985,-132.750915527
4750000,-133.163826965,-132.671981812
4800000,-133.087943192,-132.567367554
4850000,-132.989282852,-132.456115723
4900000,-132.90951474,-132.427627563
4950000,-132.805785187,-132.334594727
5000000,-132.720618256,-132.304321289
5050000,-132.663685104,-132.170272827
5100000,-132.597714417,-132.093704224
5150000,-132.491810883,-132.070220947
5200000,-132.427003876,-131.899169922
5250000,-132.358148972,-131.896133423
5300000,-132.263943268,-131.837295532
5350000,-132.211053787,-131.751525879
5400000,-132.113963333,-131.657302856
5450000,-132.041517349,-131.639984131
5500000,-131.975016754,-131.575622559
5550000,-131.924023346,-131.459564209
5600000,-131.835070038,-131.384994507
5650000,-131.769705215,-131.383468628
5700000,-131.702104706,-131.236068726
5750000,-131.656963211,-131.205047607
5800000,-131.581286774,-131.146820068
5850000,-131.523806488,-131.076431274
5900000,-131.474521912,-131.058349609
5950000,-131.379502182,-130.96534729
6000000,-131.322725128,-130.903640747
6050000,-131.267757233,-130.84727478
6100000,-131.217028152,-130.799804688
6150000,-131.148945541,-130.77230835
6200000,-131.085903564,-130.747268677
6250000,-131.029435165,-130.717773438
6300000,-130.952383286,-130.656723022
6350000,-130.907550308,-130.578994751
6400000,-130.874549896,-130.527084351
6450000,-130.792426712,-130.382003784
6500000,-130.738310669,-130.364898682
6550000,-130.684127472,-130.313232422
6600000,-130.628438644,-130.295425415
6650000,-130.565626816,-130.224655151
6700000,-130.535916809,-130.23085022
6750000,-130.489825699,-130.164169312
6800000,-130.437246521,-130.142868042
6850000,-130.365056,-130.119522095
6900000,-130.316206345,-129.968185425
6950000,-130.267153625,-129.956222534
7000000,-130.202029755,-129.866424561
7050000,-130.183236053,-129.858078003
7100000,-130.10977623,-129.852828979
7150000,-130.062019638,-129.775817871
7200000,-130.022951355,-129.764007568
7250000,-129.985449005,-129.70993042
7300000,-129.948999313,-129.636520386
7350000,-129.890942993,-129.580627441
7400000,-129.868376205,-129.541305542
7450000,-129.785922272,-129.506530762
7500000,-129.751743179,-129.488510132
7550000,-129.71308313,-129.383178711
7600000,-129.658609451,-129.455123901
7650000,-129.616613693,-129.391265869
7700000,-129.559884521,-129.310958862
7750000,-129.531658218,-129.292419434
7800000,-129.49521196,-129.270843506
7850000,-129.465064301,-129.226013184
7900000,-129.411089706,-129.184631348
7950000,-129.374486847,-129.101226807
8000000,-129.332705215,-129.016799927
8050000,-129.288647247,-129.074432373
8100000,-129.267516418,-128.970672607
8150000,-129.192823105,-128.923553467
8200000,-129.16828273,-128.963943481
8250000,-129.116140839,-128.9347229
8300000,-129.092636536,-128.895370483
8350000,-129.059976624,-128.839294434
8400000,-129.005921631,-128.772994995
8450000,-128.980151535,-128.76574707
8500000,-128.932720749,-128.728149414
8550000,-128.894890381,-128.6743927
8600000,-128.864625778,-128.65171814
8650000,-128.822670609,-128.61920166
8700000,-128.777430405,-128.646606445
8750000,-128.75854068,-128.590896606
8800000,-128.73446994,-128.448822021
8850000,-128.682695587,-128.497695923
8900000,-128.649616364,-128.470153809
8950000,-128.602481339,-128.460144043
9000000,-128.578153702,-128.401199341
9050000,-128.543968063,-128.456848145
9100000,-128.518007828,-128.324554443
9150000,-128.465029068,-128.329772949
9200000,-128.440409515,-128.328567505
9250000,-128.414026459,-128.229476929
9300000,-128.373656281,-128.229431152
9350000,-128.339680603,-128.189102173
9400000,-128.328919678,-128.172317505
9450000,-128.288490128,-128.136032104
9500000,-128.259465073,-128.096603394
9550000,-128.244872406,-128.080947876
9600000,-128.186053314,-128.130874634
9650000,-128.179243484,-128.021850586
9700000,-128.123704651,-127.976425171
9750000,-128.088225128,-128.10647583
9800000,-128.047574738,-127.948448181
9850000,-128.019337173,-127.971336365
9900000,-127.999181976,-127.891853333
9950000,-127.970894135,-127.931648254
10000000,-127.959828293,-127.863899231
10050000,-127.913306107,-127.808647156
10100000,-127.877025543,-127.779388428
10150000,-127.839336273,-127.674461365
10200000,-127.820983734,-127.748352051
10250000,-127.791905792,-127.667572021
10300000,-127.776406052,-127.675796509
10350000,-127.740285751,-127.655700684
10400000,-127.707635468,-127.644050598
10450000,-127.678120377,-127.581626892
10500000,-127.660178482,-127.640953064
10550000,-127.630987549,-127.55027771
10600000,-127.612998184,-127.540351868
10650000,-127.568893906,-127.588150024
10700000,-127.573856552,-127.446563721
10750000,-127.513475571,-127.493110657
10800000,-127.483466339,-127.423248291
10850000,-127.494503662,-127.432197571
10900000,-127.446871399,-127.468139648
10950000,-127.428271744,-127.404098511
11000000,-127.382093277,-127.343902588
11050000,-127.384133667,-127.310974121
11100000,-127.352067245,-127.313865662
