num_samples,L
5250000,-147.237067413
5300000,-147.152544159
5350000,-147.09549704
5400000,-147.011117706
5450000,-146.944813965
5500000,-146.869238647
5550000,-146.815993042
5600000,-146.744952332
5650000,-146.67297113
5700000,-146.610259216
5750000,-146.574919464
5800000,-146.509631012
5850000,-146.440946594
5900000,-146.383213074
5950000,-146.330384949
6000000,-146.266742279
6050000,-146.209709564
6100000,-146.139046112
6150000,-146.087936279
6200000,-146.035594452
6250000,-145.984912628
6300000,-145.920068054
6350000,-145.879603149
6400000,-145.815125732
6450000,-145.774352417
6500000,-145.728340576
6550000,-145.68889447
6600000,-145.632125
6650000,-145.591691589
6700000,-145.51933252
6750000,-145.473058136
6800000,-145.43886496
6850000,-145.384788635
6900000,-145.34744931
6950000,-145.287346405
7000000,-145.25115155
7050000,-145.219755432
7100000,-145.162089539
7150000,-145.110979065
7200000,-145.0797435
7250000,-145.036918213
7300000,-145.001077057
7350000,-144.963187286
7400000,-144.89383313
7450000,-144.863262329
7500000,-144.821118805
7550000,-144.766099945
7600000,-144.750988708
7650000,-144.696016663
7700000,-144.663995117
7750000,-144.619765366
7800000,-144.597083588
7850000,-144.548356659
7900000,-144.521461563
7950000,-144.462541992
8000000,-144.446562012
8050000,-144.407987762
8100000,-144.352933533
8150000,-144.338211868
8200000,-144.283863098
8250000,-144.244556976
8300000,-144.21383931
8350000,-144.17028215
8400000,-144.137997147
8450000,-144.127552063
8500000,-144.096935196
8550000,-144.043237015
8600000,-144.01548703
8650000,-143.98249025
8700000,-143.962384323
8750000,-143.903229385
8800000,-143.874696167
8850000,-143.845534897
8900000,-143.822165344
8950000,-143.792450897
9000000,-143.743186478
9050000,-143.713349945
9100000,-143.688060547
9150000,-143.653413895
9200000,-143.616226593
9250000,-143.601925217
9300000,-143.551269897
9350000,-143.515099609
9400000,-143.496939285
9450000,-143.471666946
9500000,-143.440366821
9550000,-143.40707106
9600000,-143.378881454
9650000,-143.346677353
9700000,-143.340981079
9750000,-143.298278152
9800000,-143.266018402
9850000,-143.225512085
9900000,-143.191889832
9950000,-143.188955872
10000000,-143.150649826
10050000,-143.122568619
10100000,-143.096218353
10150000,-143.071295868
10200000,-143.042684967
10250000,-143.022474152
10300000,-142.988605423
10350000,-142.961945526
10400000,-142.934788696
10450000,-142.924792435
10500000,-142.897852753
10550000,-142.844040527
10600000,-142.843642349
10650000,-142.807865494
10700000,-142.78172049
10750000,-142.74317308
10800000,-142.729563522
10850000,-142.707860306
10900000,-142.682953094
10950000,-142.668233841
11000000,-142.62011142
11050000,-142.601480469
11100000,-142.578743362
11150000,-142.565716888
11200000,-142.548967163
11250000,-142.510139832
11300000,-142.494635818
11350000,-142.471844498
11400000,-142.454073853
11450000,-142.407629562
11500000,-142.403733215
11550000,-142.378434219
11600000,-142.33952446
11650000,-142.323699631
11700000,-142.312032257
11750000,-142.2737836
11800000,-142.264705765
11850000,-142.226243225
11900000,-142.217108612
11950000,-142.187663895
12000000,-142.178321716
12050000,-142.151945892
12100000,-142.120594604
12150000,-142.096945572
12200000,-142.075183975
12250000,-142.070473938
12300000,-142.031464905
12350000,-142.031629715
12400000,-141.991635941
12450000,-141.973281189
12500000,-141.957447891
12550000,-141.919759598
12600000,-141.900316269
12650000,-141.896182449
12700000,-141.879607971
12750000,-141.854332504
12800000,-141.834189957
12850000,-141.802611145
12900000,-141.780420319
12950000,-141.77983313
13000000,-141.734741684
13050000,-141.726856659
13100000,-141.717914536
13150000,-141.683312866
13200000,-141.661981689
13250000,-141.657992004
13300000,-141.6398116
13350000,-141.60815155
13400000,-141.605595322
13450000,-141.580993439
13500000,-141.565355057
13550000,-141.534908279
13600000,-141.503949615
13650000,-141.504861923
13700000,-141.469211212
