num_samples,L,Lvalid
50000,-206.862869169,-181.161715802
100000,-173.360855374,-167.190337894
150000,-164.186406393,-158.136883982
200000,-156.782358171,-153.463698479
250000,-152.166489367,-150.115608149
300000,-149.679627217,-147.344570125
350000,-146.716562127,-145.282211615
400000,-144.929317677,-143.369617628
450000,-143.139742647,-141.996992691
500000,-142.073275326,-141.29746994
550000,-141.353731042,-140.626781727
600000,-140.717660862,-140.068259998
650000,-140.073334296,-139.3515567
700000,-139.465148445,-138.721795369
750000,-138.878672639,-138.316395657
800000,-138.286514301,-137.611932569
850000,-137.744128311,-137.095921528
900000,-137.234485869,-136.591089062
950000,-136.744108723,-136.199668455
1000000,-136.249136572,-135.723453687
1050000,-135.758780009,-135.256480249
1100000,-135.31180973,-134.703067698
1150000,-134.868181843,-134.295955904
1200000,-134.438172134,-133.841009115
1250000,-134.006882161,-133.515579756
1300000,-133.604170567,-133.086193542
1350000,-133.215858693,-132.66424608
1400000,-132.855051978,-132.26713651
1450000,-132.492089582,-131.980708917
1500000,-132.131734336,-131.678088266
1550000,-131.801026628,-131.307477447
1600000,-131.476650997,-131.016175879
1650000,-131.178272238,-130.714514013
1700000,-130.862813519,-130.52545614
1750000,-130.582640519,-130.156865937
1800000,-130.291753882,-129.845940225
1850000,-130.029964685,-129.595255346
1900000,-129.754648482,-129.323031204
1950000,-129.485040379,-129.156235499
2000000,-129.248000259,-129.031507141
2050000,-129.013415623,-128.615868807
2100000,-128.774790373,-128.37516714
2150000,-128.570619135,-128.165251113
2200000,-128.344134328,-127.928491313
2250000,-128.126072699,-127.739751374
2300000,-127.912914669,-127.543507178
2350000,-127.714507191,-127.417034699
2400000,-127.508028848,-127.148723468
2450000,-127.325180802,-127.094223965
2500000,-127.13586869,-126.841407257
2550000,-126.963442593,-126.606663544
2600000,-126.780908257,-126.395786263
2650000,-126.608718717,-126.32434411
2700000,-126.443375411,-126.154603031
2750000,-126.290785944,-125.944370323
2800000,-126.122965005,-125.779247218
2850000,-125.964020428,-125.686601259
2900000,-125.803697186,-125.521133667
2950000,-125.671012404,-125.299578713
3000000,-125.508483969,-125.229052829
3050000,-125.392210926,-125.099719725
3100000,-125.235888679,-124.92643619
3150000,-125.104509004,-124.823477358
3200000,-124.9884834,-124.692897638
3250000,-124.855800296,-124.527177206
3300000,-124.722617883,-124.380901819
3350000,-124.587668699,-124.314686446
3400000,-124.478297763,-124.198374443
3450000,-124.359986217,-124.06910477
3500000,-124.252737308,-123.961753919
3550000,-124.134868367,-123.883756254
3600000,-124.030965591,-123.757609495
3650000,-123.929550755,-123.633415745
3700000,-123.804484987,-123.565875278
3750000,-123.71160881,-123.472428966
3800000,-123.603299233,-123.352746272
3850000,-123.509376413,-123.226132489
3900000,-123.418237385,-123.169307879
3950000,-123.318751817,-123.01672242
4000000,-123.223239369,-122.958526227
4050000,-123.128437424,-122.947698037
4100000,-123.036237423,-122.809178177
4150000,-122.962422985,-122.68675804
4200000,-122.856489034,-122.553299948
4250000,-122.788326881,-122.529509421
4300000,-122.67787364,-122.416802286
4350000,-122.617952966,-122.44865755
4400000,-122.528774105,-122.277058155
4450000,-122.458539751,-122.16693965
4500000,-122.386223099,-122.12319767
4550000,-122.305653358,-122.122765351
4600000,-122.219289748,-121.973332951
4650000,-122.168270809,-121.895423323
4700000,-122.07187987,-121.802804538
4750000,-122.006713841,-121.710879371
4800000,-121.924433914,-121.653677628
4850000,-121.870232172,-121.595543461
4900000,-121.795910659,-121.546623653
4950000,-121.740711392,-121.491113389
5000000,-121.667009734,-121.435718219
5050000,-121.615949092,-121.38460392
5100000,-121.522440708,-121.320630244
5150000,-121.46167352,-121.248320349
5200000,-121.405714208,-121.220279203
5250000,-121.353110456,-121.149210003
5300000,-121.298511326,-121.08749863
5350000,-121.243551591,-121.029947537
5400000,-121.186485714,-120.92896156
5450000,-121.093700288,-120.88746668
5500000,-121.053453825,-120.875608359
5550000,-120.987631046,-120.779792312
5600000,-120.952740764,-120.778292031
5650000,-120.892809895,-120.666737018
5700000,-120.837205661,-120.67770539
5750000,-120.799922007,-120.555399728
5800000,-120.750337939,-120.505862945
5850000,-120.675734914,-120.513485737
5900000,-120.631374684,-120.447102038
5950000,-120.587248506,-120.352964953
