num_samples,L
50000,-194.433017975,-168.383544922
100000,-163.991756683,-158.421569824
150000,-156.888348511,-151.646957397
200000,-149.143936646,-146.358078003
250000,-144.143908905,-141.954727173
300000,-141.186355255,-139.151184082
350000,-137.802623718,-135.881149292
400000,-135.26419342,-134.184524536
450000,-133.680796616,-132.940811157
500000,-132.046176895,-131.124023438
550000,-130.405317505,-129.49822998
600000,-129.101409729,-128.426956177
650000,-128.147303436,-127.680297852
700000,-127.519977707,-126.977340698
750000,-126.883014374,-126.429878235
800000,-126.109082733,-125.524223328
850000,-125.22564183,-124.642601013
900000,-124.505921661,-123.936973572
950000,-123.78589772,-123.407974243
1000000,-123.19935173,-122.973876953
1050000,-122.811486679,-122.455871582
1100000,-122.412024353,-122.230400085
1150000,-122.082557556,-121.95803833
1200000,-121.84338295,-121.66204834
1250000,-121.516991089,-121.377296448
1300000,-121.243547485,-121.174751282
1350000,-120.981509247,-120.844985962
1400000,-120.685219635,-120.607528687
1450000,-120.401356323,-120.241714478
1500000,-120.063983246,-119.901023865
1550000,-119.761451431,-119.717300415
1600000,-119.520643845,-119.436798096
1650000,-119.204830048,-119.222198486
1700000,-118.973260681,-118.889328003
1750000,-118.689842377,-118.647247314
1800000,-118.517887161,-118.526672363
1850000,-118.283845093,-118.256225586
1900000,-118.042004364,-118.041801453
1950000,-117.809456497,-117.713973999
2000000,-117.620717529,-117.547798157
2050000,-117.392986847,-117.453361511
2100000,-117.192421799,-117.143249512
2150000,-116.962383591,-117.015571594
2200000,-116.75563063,-116.70980072
2250000,-116.563428528,-116.64704895
2300000,-116.342648682,-116.338012695
2350000,-116.171239685,-116.139778137
2400000,-115.979114578,-115.99042511
2450000,-115.775867554,-115.758728027
2500000,-115.604243118,-115.694900513
2550000,-115.418518082,-115.359115601
2600000,-115.235271118,-115.259124756
2650000,-115.066126678,-115.13533783
2700000,-114.86945192,-114.975952148
2750000,-114.740547668,-114.693511963
2800000,-114.559720657,-114.572990417
2850000,-114.443062668,-114.591239929
2900000,-114.292532074,-114.328178406
2950000,-114.132394669,-114.22227478
3000000,-113.987770477,-114.136802673
3050000,-113.83397406,-113.94695282
3100000,-113.730301743,-113.738723755
3150000,-113.583410965,-113.691215515
3200000,-113.487213562,-113.593849182
3250000,-113.337878235,-113.418571472
3300000,-113.190173279,-113.368850708
3350000,-113.084736343,-113.209350586
3400000,-112.976328293,-113.080276489
3450000,-112.824251816,-112.957527161
3500000,-112.727442093,-112.88659668
3550000,-112.63550444,-112.641296387
3600000,-112.523594284,-112.662452698
3650000,-112.411335754,-112.485649109
3700000,-112.278025635,-112.422447205
3750000,-112.197541016,-112.371551514
3800000,-112.079849182,-112.225128174
3850000,-111.99424527,-112.080596924
3900000,-111.871450272,-112.09929657
3950000,-111.799879364,-111.957725525
4000000,-111.722195221,-111.901496887
4050000,-111.635229355,-111.723823547
4100000,-111.518155777,-111.649841309
4150000,-111.423393188,-111.597999573
4200000,-111.378676956,-111.504135132
4250000,-111.246652252,-111.449775696
4300000,-111.175203644,-111.422546387
4350000,-111.066782257,-111.289726257
4400000,-111.014641525,-111.198097229
4450000,-110.911818146,-111.115684509
4500000,-110.85538205,-111.13192749
4550000,-110.746023788,-111.02217865
4600000,-110.684929428,-110.864349365
4650000,-110.580892303,-110.825691223
4700000,-110.50765358,-110.702476501
