num_samples,L,Lvalid
1500,34.8457938244,173.25548026
1500,34.8457938244,173.25548026
3000,387.427210774,483.853925293
3000,387.427210774,483.853925293
4500,463.739674467,386.975549981
4500,463.739674467,386.975549981
6000,479.510039668,400.616332171
6000,479.510039668,400.616332171
7500,490.262975362,479.318353166
7500,490.262975362,479.318353166
9000,490.687389048,468.38887218
9000,490.687389048,468.38887218
10500,503.589962945,531.622030146
10500,503.589962945,531.622030146
12000,494.563310217,535.949778454
12000,494.563310217,535.949778454
13500,515.615655791,518.164257459
13500,515.615655791,518.164257459
15000,525.689827899,509.94999975
15000,525.689827899,509.94999975
16500,547.167196123,542.13092237
16500,547.167196123,542.13092237
18000,563.08283266,518.330887407
18000,563.08283266,518.330887407
19500,554.441038497,554.513421508
19500,554.441038497,554.513421508
21000,572.594576751,530.119379648
21000,572.594576751,530.119379648
22500,585.189443441,557.216132295
22500,585.189443441,557.216132295
24000,590.643742578,603.034805016
24000,590.643742578,603.034805016
25500,597.740791446,594.151040878
25500,597.740791446,594.151040878
27000,596.057899747,598.823446352
27000,596.057899747,598.823446352
28500,612.510683577,599.730999555
28500,612.510683577,599.730999555
30000,615.289231658,573.23522134
30000,615.289231658,573.23522134
31500,625.631536835,610.635305083
31500,625.631536835,610.635305083
33000,620.937868131,619.349829943
33000,620.937868131,619.349829943
34500,615.336474253,601.947982499
34500,615.336474253,601.947982499
36000,634.789805155,616.377134456
36000,634.789805155,616.377134456
37500,632.752427615,601.689670543
37500,632.752427615,601.689670543
39000,634.693348388,630.078589155
39000,634.693348388,630.078589155
40500,646.446017724,593.016626683
40500,646.446017724,593.016626683
42000,642.994015962,607.802640037
42000,642.994015962,607.802640037
43500,626.519475787,582.993771649
43500,626.519475787,582.993771649
45000,642.045727557,639.37754908
45000,642.045727557,639.37754908
46500,651.627056193,614.953068751
46500,651.627056193,614.953068751
48000,654.295674613,603.275243649
48000,654.295674613,603.275243649
49500,652.539524514,624.102130364
49500,652.539524514,624.102130364
51000,662.787003983,633.824729316
51000,662.787003983,633.824729316
52500,660.631906472,617.038479666
52500,660.631906472,617.038479666
54000,664.828880629,631.878994124
54000,664.828880629,631.878994124
55500,666.703535798,636.210714117
55500,666.703535798,636.210714117
57000,671.586709597,643.791418823
57000,671.586709597,643.791418823
58500,677.982045775,641.27080787
58500,677.982045775,641.27080787
60000,667.961028924,640.131553442
60000,667.961028924,640.131553442
61500,680.089288975,624.552055445
61500,680.089288975,624.552055445
63000,672.793681229,623.59818704
63000,672.793681229,623.59818704
64500,674.271480835,618.075185105
64500,674.271480835,618.075185105
66000,675.356758409,650.416370147
66000,675.356758409,650.416370147
67500,683.706363981,645.022095053
67500,683.706363981,645.022095053
69000,682.035155808,629.255518178
69000,682.035155808,629.255518178
70500,683.001109224,631.542720996
70500,683.001109224,631.542720996
72000,687.779281427,615.372266565
72000,687.779281427,615.372266565
73500,684.509607626,650.833017864
73500,684.509607626,650.833017864
75000,692.296018868,651.42341857
75000,692.296018868,651.42341857
76500,687.866691654,625.012950203
76500,687.866691654,625.012950203
78000,685.682680639,635.379110761
78000,685.682680639,635.379110761
79500,695.058982913,625.876605388
79500,695.058982913,625.876605388
81000,688.084494639,650.414513663
81000,688.084494639,650.414513663
82500,698.042359476,639.305986428
82500,698.042359476,639.305986428
84000,695.150437492,623.306803123
84000,695.150437492,623.306803123
85500,690.927824649,591.671603229
85500,690.927824649,591.671603229
87000,686.40040496,650.71601498
87000,686.40040496,650.71601498
88500,703.41446241,634.738561877
88500,703.41446241,634.738561877
90000,709.265380571,636.884475015
90000,709.265380571,636.884475015
91500,709.109338642,631.756089803
91500,709.109338642,631.756089803
93000,710.636909987,613.441746949
93000,710.636909987,613.441746949
94500,696.869374109,630.336297396
94500,696.869374109,630.336297396
96000,704.137005912,599.917063157
96000,704.137005912,599.917063157
97500,707.535410791,625.808102377
97500,707.535410791,625.808102377
99000,715.339457079,641.190607311
99000,715.339457079,641.190607311
100500,715.33559497,654.920113583
100500,715.33559497,654.920113583
102000,716.781294084,633.447687003
102000,716.781294084,633.447687003
103500,720.678964407,658.002752618
103500,720.678964407,658.002752618
105000,717.575608327,637.953944929
105000,717.575608327,637.953944929
106500,716.186105305,641.226081168
106500,716.186105305,641.226081168
108000,723.069104523,635.533835173
108000,723.069104523,635.533835173
109500,723.728329805,627.34174245
109500,723.728329805,627.34174245
111000,723.77290939,662.759556061
111000,723.77290939,662.759556061
112500,717.481439803,669.135366704
112500,717.481439803,669.135366704
114000,721.300132327,640.710280012
114000,721.300132327,640.710280012
115500,728.822665257,647.356224677
115500,728.822665257,647.356224677
117000,728.733297347,619.775102334
117000,728.733297347,619.775102334
118500,731.580559744,664.724411669
118500,731.580559744,664.724411669
120000,732.969803651,665.07072225
120000,732.969803651,665.07072225
121500,730.11246775,677.994155503
121500,730.11246775,677.994155503
123000,739.671127529,634.74002213
123000,739.671127529,634.74002213
124500,740.923679018,671.150328337
124500,740.923679018,671.150328337
126000,737.977089931,682.600334161
126000,737.977089931,682.600334161
127500,747.0905066,652.528851395
127500,747.0905066,652.528851395
129000,747.26835416,669.433626709
129000,747.26835416,669.433626709
130500,753.811837118,695.10526179
130500,753.811837118,695.10526179
132000,756.363910545,691.583547121
132000,756.363910545,691.583547121
133500,758.416365278,691.18740643
133500,758.416365278,691.18740643
135000,760.134962407,661.838427186
135000,760.134962407,661.838427186
136500,752.79628896,679.838920562
136500,752.79628896,679.838920562
138000,763.54187541,649.860540857
138000,763.54187541,649.860540857
139500,756.306521194,686.189465634
139500,756.306521194,686.189465634
141000,759.716852095,701.547008919
141000,759.716852095,701.547008919
142500,761.739333722,695.203479255
142500,761.739333722,695.203479255
144000,762.696663171,699.392082971
144000,762.696663171,699.392082971
145500,762.903896284,696.962266442
145500,762.903896284,696.962266442
147000,765.197185051,700.528096417
147000,765.197185051,700.528096417
148500,770.615481236,697.942089708
148500,770.615481236,697.942089708
150000,771.352815277,707.982685413
150000,771.352815277,707.982685413
151500,757.789723878,702.211987109
