num_samples,L,Lvalid
50000,-206.369023806,-180.856499156
100000,-177.351125249,-170.293375095
150000,-164.414417511,-159.555319597
200000,-158.92509147,-156.793080871
250000,-156.87955046,-155.022975963
300000,-154.526328643,-151.740915513
350000,-150.727107278,-148.19391073
400000,-146.984925914,-144.915790773
450000,-144.382646639,-142.894027571
500000,-142.440442885,-141.077230244
550000,-140.756715106,-139.610065721
600000,-139.36717133,-138.36097416
650000,-138.23729006,-137.410975865
700000,-137.263818619,-136.548244703
750000,-136.438029117,-135.73050754
800000,-135.624984266,-134.974951065
850000,-134.749041875,-133.979009677
900000,-133.836014886,-133.156629542
950000,-133.029560789,-132.442786376
1000000,-132.375710472,-131.941968685
1050000,-131.773388192,-131.275189408
1100000,-131.196425454,-130.710554855
1150000,-130.6649901,-130.270667165
1200000,-130.118617012,-129.658404998
1250000,-129.615760409,-129.163251504
1300000,-129.08419913,-128.640687479
1350000,-128.551378171,-128.156307049
1400000,-127.949973335,-127.507283389
1450000,-127.310878476,-126.88881595
1500000,-126.702743206,-126.236586739
1550000,-126.168955195,-125.763227336
1600000,-125.72507959,-125.335283097
1650000,-125.281142449,-124.96738591
1700000,-124.947431646,-124.682582541
1750000,-124.637398864,-124.402757126
1800000,-124.334320031,-124.110687094
1850000,-124.052126548,-123.755352172
1900000,-123.776097384,-123.56377811
1950000,-123.518264339,-123.241435229
2000000,-123.239843582,-123.125776167
2050000,-122.964085152,-122.697748478
2100000,-122.705378639,-122.447424993
2150000,-122.462443786,-122.289441011
2200000,-122.237626155,-122.144856463
2250000,-122.025579551,-121.772437023
2300000,-121.808582022,-121.562164069
2350000,-121.600957664,-121.394090424
2400000,-121.400839075,-121.191199409
2450000,-121.22376399,-121.043145358
2500000,-121.051792012,-120.882660576
2550000,-120.890535594,-120.827118622
2600000,-120.719938359,-120.560206799
2650000,-120.583749547,-120.435997554
2700000,-120.418726946,-120.382621767
2750000,-120.296201191,-120.15868268
2800000,-120.152206828,-119.99730215
2850000,-120.020832772,-119.886185965
2900000,-119.897580057,-119.728390981
2950000,-119.768480842,-119.704594537
3000000,-119.646640003,-119.558154903
3050000,-119.522976271,-119.388226075
3100000,-119.416417029,-119.315690304
3150000,-119.299484176,-119.183374311
3200000,-119.190809308,-119.042989421
3250000,-119.105979722,-118.950919359
3300000,-118.98074248,-118.8325539
3350000,-118.868523804,-118.721523462
3400000,-118.761626261,-118.709883756
3450000,-118.657739981,-118.529403615
3500000,-118.544355163,-118.457355005
3550000,-118.467367936,-118.414375107
3600000,-118.392730856,-118.383849304
3650000,-118.27515742,-118.183784844
3700000,-118.176547096,-118.132305212
3750000,-118.093016005,-118.008101765
3800000,-118.018034099,-117.887810649
3850000,-117.894820664,-117.857978764
3900000,-117.829143576,-117.825082007
3950000,-117.748059546,-117.695517355
4000000,-117.676334596,-117.573344749
4050000,-117.579068288,-117.566697436
4100000,-117.478336042,-117.393825248
4150000,-117.412209585,-117.374634188
4200000,-117.33123068,-117.325939001
4250000,-117.247842474,-117.138355318
4300000,-117.169924988,-117.077744324
4350000,-117.109450367,-117.098027528
4400000,-117.02193092,-116.988866438
4450000,-116.932917792,-116.901787319
4500000,-116.87132856,-116.797819937
4550000,-116.774736664,-116.755449588
4600000,-116.704761642,-116.644868552
4650000,-116.618638719,-116.587508711
4700000,-116.551281756,-116.518453463
4750000,-116.468081818,-116.402126434
4800000,-116.402419275,-116.366833994
4850000,-116.298569379,-116.270131928
4900000,-116.23727452,-116.160751185
4950000,-116.170995964,-116.113396958
5000000,-116.105311939,-116.071149313
5050000,-116.008919178,-115.929021911
5100000,-115.938789321,-115.918692619
5150000,-115.864725386,-115.83511092
5200000,-115.783997833,-115.771642986
5250000,-115.732723915,-115.722630375
5300000,-115.671364966,-115.590841307
5350000,-115.587819771,-115.550358554
5400000,-115.529186139,-115.467104898
5450000,-115.467398956,-115.413414686
5500000,-115.399560467,-115.368361393
5550000,-115.334506066,-115.360749024
