num_samples,L
15750000,-104.510736145,-105.093727112
15800000,-104.531886993,-105.127449036
15850000,-104.504713196,-104.996353149
15900000,-104.458215149,-104.96837616
15950000,-104.496150421,-105.090675354
16000000,-104.435596512,-104.933448792
16050000,-104.457878998,-104.981246948
16100000,-104.408477631,-105.040939331
16150000,-104.442196518,-104.95652771
16200000,-104.408691055,-104.955215454
16250000,-104.424373123,-104.939872742
16300000,-104.389340027,-105.025726318
16350000,-104.38831308,-104.976715088
16400000,-104.369149628,-104.849990845
16450000,-104.336014893,-104.870178223
16500000,-104.390485657,-104.905723572
16550000,-104.323450256,-104.821662903
16600000,-104.301235092,-104.949897766
16650000,-104.325659164,-104.839637756
16700000,-104.284888687,-104.820411682
16750000,-104.268805176,-104.871177673
16800000,-104.29856395,-104.828338623
16850000,-104.273246246,-104.808746338
16900000,-104.259276581,-104.810935974
16950000,-104.277048965,-104.864372253
17000000,-104.233513077,-104.82371521
17050000,-104.214313644,-104.832328796
17100000,-104.216413315,-104.792755127
17150000,-104.223103348,-104.733734131
17200000,-104.20798172,-104.748748779
17250000,-104.165574921,-104.785331726
17300000,-104.205812531,-104.786834717
17350000,-104.188908951,-104.708938599
17400000,-104.153899033,-104.722061157
17450000,-104.147870255,-104.699981689
17500000,-104.169379288,-104.669883728
17550000,-104.123423828,-104.70941925
17600000,-104.11370697,-104.652137756
17650000,-104.104928757,-104.711669922
17700000,-104.120365158,-104.648872375
17750000,-104.092500458,-104.708747864
17800000,-104.099917374,-104.687683105
17850000,-104.067265869,-104.681739807
17900000,-104.054990601,-104.738288879
17950000,-104.046207199,-104.660377502
18000000,-104.034986481,-104.629264832
18050000,-104.07463295,-104.610137939
18100000,-104.049524307,-104.618675232
18150000,-104.01908342,-104.60900116
18200000,-104.009640106,-104.612701416
18250000,-103.993219376,-104.584411621
18300000,-103.981829254,-104.640846252
18350000,-103.968512207,-104.484283447
18400000,-103.946659561,-104.594726562
18450000,-103.96141983,-104.49899292
18500000,-103.928768631,-104.60987854
18550000,-103.930952072,-104.573959351
18600000,-103.928655258,-104.584465027
18650000,-103.945467346,-104.515281677
18700000,-103.945566299,-104.535591125
18750000,-103.915136185,-104.554962158
18800000,-103.89168045,-104.509284973
18850000,-103.893568222,-104.527709961
18900000,-103.874513428,-104.571327209
18950000,-103.894183228,-104.532653809
19000000,-103.863593079,-104.463020325
19050000,-103.858890274,-104.501152039
19100000,-103.845503418,-104.394676208
19150000,-103.845997894,-104.376541138
19200000,-103.85752388,-104.374511719
19250000,-103.828521988,-104.512321472
19300000,-103.811029327,-104.505050659
19350000,-103.801581192,-104.448387146
19400000,-103.810624283,-104.41381073
19450000,-103.77063179,-104.352798462
19500000,-103.755865234,-104.444038391
19550000,-103.752476196,-104.400871277
19600000,-103.777130585,-104.43296051
19650000,-103.778478897,-104.298583984
19700000,-103.755229935,-104.410095215
19750000,-103.748241882,-104.269714355
19800000,-103.719162079,-104.411552429
19850000,-103.707590591,-104.34828949
19900000,-103.704215073,-104.406578064
19950000,-103.68538974,-104.315452576
20000000,-103.681555923,-104.359939575
20050000,-103.701301376,-104.307235718
20100000,-103.64254068,-104.342910767
20150000,-103.661916931,-104.292388916
20200000,-103.67901355,-104.347175598
20250000,-103.669222534,-104.286552429
20300000,-103.64450322,-104.269378662
