num_samples,L,Lvalid
1500,-7.20889122658,302.417864778
1500,-7.20889122658,302.417864778
3000,434.598919919,471.086630646
3000,434.598919919,471.086630646
4500,456.03088231,392.089961025
4500,456.03088231,392.089961025
6000,485.230801094,443.850725697
6000,485.230801094,443.850725697
7500,497.814964029,483.373626222
7500,497.814964029,483.373626222
9000,488.170032107,473.73655661
9000,488.170032107,473.73655661
10500,508.659946046,531.816573682
10500,508.659946046,531.816573682
12000,485.638995336,532.93257711
12000,485.638995336,532.93257711
13500,512.325577831,524.183488915
13500,512.325577831,524.183488915
15000,512.21894859,508.043469893
15000,512.21894859,508.043469893
16500,536.976682329,533.623212319
16500,536.976682329,533.623212319
18000,543.252803861,496.351135802
18000,543.252803861,496.351135802
19500,557.603258279,521.194435014
19500,557.603258279,521.194435014
21000,555.252388462,546.152675665
21000,555.252388462,546.152675665
22500,559.910509185,523.262313364
22500,559.910509185,523.262313364
24000,573.091475349,572.908501054
24000,573.091475349,572.908501054
25500,571.257303156,563.412002292
25500,571.257303156,563.412002292
27000,573.881470281,498.175331384
27000,573.881470281,498.175331384
28500,573.49987996,561.342224815
28500,573.49987996,561.342224815
30000,585.125274769,541.553082236
30000,585.125274769,541.553082236
31500,586.392886063,565.258850033
31500,586.392886063,565.258850033
33000,581.816476224,565.460200509
33000,581.816476224,565.460200509
34500,586.174535917,562.923998359
34500,586.174535917,562.923998359
36000,587.033398703,550.905210816
36000,587.033398703,550.905210816
37500,587.800116161,548.481774998
37500,587.800116161,548.481774998
39000,588.340833608,547.24882373
39000,588.340833608,547.24882373
40500,592.366753068,546.720649069
40500,592.366753068,546.720649069
42000,594.103763112,558.942422859
42000,594.103763112,558.942422859
43500,592.441767353,533.585644672
43500,592.441767353,533.585644672
45000,593.028915848,570.788742493
45000,593.028915848,570.788742493
46500,594.72661559,557.084314501
46500,594.72661559,557.084314501
48000,603.299644711,543.641999129
48000,603.299644711,543.641999129
49500,598.839829726,557.361361966
49500,598.839829726,557.361361966
51000,603.854359863,571.581398007
