num_samples,L,Lvalid
50000,-213.049903152,-182.781462906
100000,-176.808036286,-169.405766182
150000,-167.580097192,-162.777870182
200000,-160.276897602,-156.69754032
250000,-154.252107911,-150.770185717
300000,-149.39678857,-146.684727382
350000,-145.678578012,-143.423280395
400000,-142.616654408,-140.717656911
450000,-140.172266265,-138.567947955
500000,-138.193246909,-136.795768713
550000,-136.269167937,-135.046849633
600000,-134.62418822,-133.509147538
650000,-133.040992998,-131.993001579
700000,-131.755538621,-131.042548457
750000,-130.536832433,-129.738269894
800000,-129.523346533,-128.780059845
850000,-128.662211327,-128.045496119
900000,-127.888322309,-127.354304336
950000,-127.279086715,-126.765697676
1000000,-126.679508623,-126.170645702
1050000,-126.176611083,-125.740470362
1100000,-125.72932067,-125.283167957
1150000,-125.31466753,-124.89542461
1200000,-124.886687634,-124.491900432
1250000,-124.496563206,-124.134536837
1300000,-124.119838387,-123.852025982
1350000,-123.764624342,-123.397023683
1400000,-123.434302305,-123.155731141
1450000,-123.083346355,-122.825020561
1500000,-122.758269712,-122.455306499
1550000,-122.44464871,-122.165916072
1600000,-122.123642727,-121.832905741
1650000,-121.827978565,-121.55797359
1700000,-121.516259971,-121.236086525
1750000,-121.199413586,-120.961430522
1800000,-120.931411759,-120.612842468
1850000,-120.623987109,-120.456835323
1900000,-120.382312171,-120.158216346
1950000,-120.127651538,-119.894622932
2000000,-119.889242275,-119.684195016
2050000,-119.651890139,-119.337845909
2100000,-119.43350499,-119.307393603
2150000,-119.228427379,-118.990809428
2200000,-119.019342359,-118.793662645
2250000,-118.854235675,-118.676603051
2300000,-118.668609524,-118.503690804
2350000,-118.511063702,-118.412650073
2400000,-118.315306026,-118.213659639
2450000,-118.207397926,-118.093378582
2500000,-118.05414047,-117.924078913
2550000,-117.900281737,-117.846916093
2600000,-117.788905383,-117.64993842
2650000,-117.648301686,-117.51015478
2700000,-117.532435075,-117.441323858
2750000,-117.420630827,-117.372278587
2800000,-117.264279874,-117.203757199
2850000,-117.191768796,-117.077832548
2900000,-117.059659812,-116.96703968
2950000,-116.944398117,-116.838226909
3000000,-116.850449634,-116.809059287
3050000,-116.756881634,-116.688471056
3100000,-116.660986057,-116.580037203
3150000,-116.550474237,-116.429889695
3200000,-116.451236864,-116.423262659
3250000,-116.344664278,-116.294676097
3300000,-116.261051454,-116.190019187
3350000,-116.166031277,-116.141355378
3400000,-116.10326511,-116.045589656
3450000,-116.012318401,-115.963148984
3500000,-115.899194998,-115.886334381
3550000,-115.81109134,-115.803589037
3600000,-115.739450144,-115.770632863
3650000,-115.666433371,-115.632980842
3700000,-115.582516218,-115.540447867
3750000,-115.507652599,-115.491367629
3800000,-115.436134405,-115.373196472
3850000,-115.358369198,-115.323658759
3900000,-115.263101237,-115.287609733
3950000,-115.199645271,-115.215257998
4000000,-115.127214804,-115.073944648
4050000,-115.052187413,-115.032512724
4100000,-114.97172111,-114.93623809
4150000,-114.926527716,-114.890567246
