num_samples,L
50000,-190.519150757,-169.173034668
100000,-161.432702393,-152.616714478
150000,-150.141670685,-147.48638916
200000,-145.42060611,-143.23046875
250000,-142.425404419,-141.113464355
300000,-140.710934128,-139.627197266
350000,-139.445539124,-138.326171875
400000,-138.24387085,-137.531097412
450000,-137.412037506,-137.062393188
500000,-136.86401622,-136.645370483
550000,-136.398855362,-136.166244507
600000,-136.019133224,-135.60256958
650000,-135.610534927,-135.206817627
700000,-135.238920364,-134.809844971
750000,-134.821227707,-134.639205933
800000,-134.407916061,-133.979415894
850000,-133.981693558,-133.643493652
900000,-133.546867401,-133.140899658
950000,-133.149883896,-132.922607422
1000000,-132.68825386,-132.329071045
1050000,-132.247159775,-131.886367798
1100000,-131.836069489,-131.465057373
1150000,-131.406643463,-131.067367554
1200000,-130.981274277,-130.627807617
1250000,-130.529349274,-130.211593628
1300000,-130.132134247,-129.8462677
1350000,-129.707165924,-129.388763428
1400000,-129.304150635,-128.996368408
1450000,-128.912964188,-128.692260742
1500000,-128.523257843,-128.269622803
1550000,-128.114484436,-127.886566162
1600000,-127.744418655,-127.575950623
1650000,-127.400903397,-127.175926208
1700000,-127.051051697,-126.821678162
1750000,-126.745310944,-126.504249573
1800000,-126.387275909,-126.227912903
1850000,-126.061831665,-125.977401733
1900000,-125.763705093,-125.575935364
1950000,-125.464364426,-125.341003418
2000000,-125.172442108,-125.018188477
2050000,-124.899703506,-124.858146667
2100000,-124.612038513,-124.505699158
2150000,-124.351129929,-124.305976868
2200000,-124.137450302,-124.020050049
2250000,-123.868859131,-123.770202637
2300000,-123.613300613,-123.527984619
2350000,-123.371773346,-123.373474121
2400000,-123.180188644,-123.215400696
2450000,-122.9369711,-122.938102722
2500000,-122.69944812,-122.665390015
2550000,-122.516497803,-122.448600769
2600000,-122.286046509,-122.296737671
2650000,-122.101061325,-122.12727356
2700000,-121.918218994,-121.87802124
2750000,-121.687434814,-121.698860168
2800000,-121.501729309,-121.510490417
2850000,-121.344452637,-121.30670166
2900000,-121.173605408,-121.208747864
2950000,-121.010568756,-120.94278717
3000000,-120.799201767,-120.784210205
3050000,-120.670032669,-120.647499084
3100000,-120.520096878,-120.474334717
3150000,-120.339418762,-120.371101379
3200000,-120.181526947,-120.169364929
3250000,-120.022111496,-119.982902527
3300000,-119.861899231,-119.923873901
3350000,-119.71124382,-119.745941162
3400000,-119.606767471,-119.645271301
3450000,-119.423607559,-119.448501587
3500000,-119.2960923,-119.373985291
3550000,-119.178684998,-119.187347412
3600000,-119.028585281,-119.140678406
3650000,-118.9118125,-118.922271729
3700000,-118.762481949,-118.886825562
3750000,-118.639903275,-118.735450745
3800000,-118.516428513,-118.619636536
3850000,-118.401193619,-118.431678772
3900000,-118.289907211,-118.319198608
3950000,-118.171058914,-118.145240784
4000000,-118.043165039,-118.063613892
4050000,-117.935371994,-118.049873352
4100000,-117.799102219,-117.928703308
4150000,-117.70413382,-117.835365295
4200000,-117.615628265,-117.664611816
4250000,-117.508864624,-117.569274902
4300000,-117.390012314,-117.577072144
4350000,-117.285805344,-117.402313232
4400000,-117.190307785,-117.247146606
4450000,-117.07798082,-117.202102661
4500000,-116.978943497,-117.076202393
4550000,-116.884050232,-117.088951111
4600000,-116.812745804,-116.857452393
4650000,-116.708315903,-116.859649658
4700000,-116.600284439,-116.771514893
4750000,-116.544315277,-116.643600464
4800000,-116.442329941,-116.581565857
4850000,-116.367071991,-116.522071838
4900000,-116.275074722,-116.381736755
4950000,-116.182014328,-116.259040833
5000000,-116.123258926,-116.29599762
5050000,-116.009818848,-116.201927185
5100000,-115.919679337,-116.064399719
5150000,-115.838848267,-116.036422729
5200000,-115.751644928,-115.944221497
5250000,-115.691127548,-115.85610199
5300000,-115.63150293,-115.774559021
5350000,-115.547428787,-115.706550598
5400000,-115.441945587,-115.635765076
5450000,-115.41575116,-115.640609741
5500000,-115.317740051,-115.4659729
5550000,-115.242275864,-115.384063721
5600000,-115.183708176,-115.313453674
5650000,-115.101492752,-115.361473083
5700000,-115.062530411,-115.251296997
5750000,-114.98698259,-115.09777832
5800000,-114.905075684,-115.067062378
5850000,-114.826888657,-115.017501831
5900000,-114.743633499,-114.963928223
5950000,-114.702282761,-114.928634644
6000000,-114.645104797,-114.952026367
6050000,-114.568129532,-114.750923157
6100000,-114.503514603,-114.729141235
6150000,-114.460614761,-114.834922791
6200000,-114.399611191,-114.632728577
6250000,-114.342119873,-114.642677307
6300000,-114.271014145,-114.560150146
6350000,-114.224422455,-114.469284058
6400000,-114.175644592,-114.417785645
6450000,-114.116797241,-114.366851807
6500000,-114.048221222,-114.298713684
6550000,-113.970147949,-114.26386261
6600000,-113.951413452,-114.169311523
6650000,-113.886179443,-114.150924683
6700000,-113.825729782,-114.103378296
6750000,-113.744166183,-114.042877197
6800000,-113.71766597,-113.996284485
6850000,-113.65045845,-114.002853394
6900000,-113.632889481,-113.863250732
6950000,-113.553693451,-113.858772278
