num_samples,L,Lvalid
10100000,-145.324505175,-144.329763847
10150000,-145.308677062,-144.294108604
10200000,-145.289547586,-144.310555076
10250000,-145.277823248,-144.270223727
10300000,-145.264236033,-144.278079947
10350000,-145.244086278,-144.216458425
10400000,-145.22600767,-144.193526122
10450000,-145.198832447,-144.236674305
10500000,-145.203625467,-144.184382404
10550000,-145.181293884,-144.207151524
10600000,-145.170424684,-144.107045611
10650000,-145.138932013,-144.102430685
10700000,-145.12858873,-144.187458263
10750000,-145.106776155,-144.092187098
10800000,-145.102674968,-144.115162091
10850000,-145.073452823,-144.082166304
10900000,-145.066586643,-144.093869426
10950000,-145.057557645,-144.014803434
11000000,-145.028877459,-144.009353859
11050000,-145.012169958,-144.04925356
11100000,-144.997788411,-143.956110574
11150000,-144.985948348,-143.991497063
11200000,-144.963066589,-143.923314116
11250000,-144.955966445,-143.916554334
11300000,-144.93254279,-143.915836795
11350000,-144.917133511,-143.958164211
11400000,-144.906276346,-143.961891518
11450000,-144.896515296,-143.917745085
11500000,-144.869800656,-143.92076235
11550000,-144.864637933,-143.938409018
11600000,-144.843250376,-143.960864394
11650000,-144.833742329,-143.848277046
11700000,-144.829058048,-143.821540847
11750000,-144.809572165,-143.807747981
11800000,-144.783284478,-143.800173464
11850000,-144.770183756,-143.883467953
11900000,-144.763551823,-143.824935253
11950000,-144.749270379,-143.77820876
12000000,-144.727965587,-143.780918989
12050000,-144.731002339,-143.703980014
12100000,-144.692556828,-143.663391816
12150000,-144.676792215,-143.691646494
12200000,-144.668354499,-143.746751556
12250000,-144.66519284,-143.690253666
12300000,-144.654153466,-143.602197647
12350000,-144.63983882,-143.634254775
12400000,-144.617788699,-143.632872628
12450000,-144.590102301,-143.636386432
12500000,-144.597025021,-143.634671153
12550000,-144.570406569,-143.58592739
12600000,-144.555792841,-143.57534224
12650000,-144.558801826,-143.540094065
12700000,-144.542458672,-143.51191618
12750000,-144.524331298,-143.52843879
12800000,-144.519251848,-143.478141257
12850000,-144.491216943,-143.540706239
12900000,-144.485132458,-143.523256672
12950000,-144.467283288,-143.492048435
13000000,-144.447818311,-143.389301753
13050000,-144.444808047,-143.490606133
13100000,-144.419697978,-143.490520601
13150000,-144.411425766,-143.413083551
13200000,-144.403544364,-143.362007975
13250000,-144.388909017,-143.46518586
13300000,-144.374680983,-143.376608563
13350000,-144.366689523,-143.365788718
13400000,-144.358664742,-143.34035332
13450000,-144.343978593,-143.425694925
13500000,-144.323448575,-143.340698533
13550000,-144.316968312,-143.339228882
13600000,-144.292688822,-143.345708297
13650000,-144.289544048,-143.310237011
13700000,-144.265125913,-143.407542098
13750000,-144.254580341,-143.3236171
13800000,-144.24555207,-143.267883406
13850000,-144.227559419,-143.328937799
13900000,-144.233334426,-143.29081409
13950000,-144.215337712,-143.211100544
14000000,-144.18944999,-143.226946939
14050000,-144.192295776,-143.135524547
14100000,-144.155411874,-143.236363925
14150000,-144.159997297,-143.20029548
14200000,-144.160145884,-143.186586782
14250000,-144.135897456,-143.206695981
14300000,-144.139867285,-143.164606241
14350000,-144.119281791,-143.114503574
14400000,-144.113268974,-143.197962833
14450000,-144.095239483,-143.163673137
14500000,-144.083184178,-143.112461557
14550000,-144.069632426,-143.105681043
14600000,-144.064997507,-143.053141459
14650000,-144.045406745,-143.144198198
14700000,-144.040404548,-143.050112702
14750000,-144.030989979,-143.032861889
14800000,-144.018504228,-143.135630487
14850000,-143.991945133,-143.071953759
14900000,-144.004789709,-143.0070483
14950000,-143.984735796,-142.960835196
15000000,-143.968831627,-142.978605909
15050000,-143.962896669,-142.995752251
15100000,-143.933667582,-142.962716903
15150000,-143.934596049,-143.010324374
15200000,-143.929710465,-142.952985798
15250000,-143.919131324,-142.947929935
15300000,-143.905311818,-142.912040054
15350000,-143.893153182,-142.890325824
15400000,-143.879240327,-142.958579795
15450000,-143.88763451,-142.941713449
15500000,-143.875260622,-142.849669883
15550000,-143.86033737,-142.820220395
15600000,-143.855718131,-142.863823672
15650000,-143.827043172,-142.875497169
15700000,-143.810052814,-142.889502289
15750000,-143.794804595,-142.91914587
15800000,-143.792873241,-142.805977631
15850000,-143.785599952,-142.843335378
15900000,-143.778311768,-142.80124787
15950000,-143.770971129,-142.77117767
16000000,-143.759104801,-142.894083194
16050000,-143.750950541,-142.816751127
16100000,-143.725156905,-142.74574307
16150000,-143.708858169,-142.755104929
16200000,-143.706427722,-142.804566184
16250000,-143.705370296,-142.760263574
16300000,-143.687418235,-142.778443063
16350000,-143.695998371,-142.76916649
16400000,-143.674569378,-142.755929457
16450000,-143.679201481,-142.712453851
16500000,-143.653769326,-142.726519103
16550000,-143.639362986,-142.70060286
16600000,-143.629712903,-142.671787141
16650000,-143.631646047,-142.617549358
16700000,-143.614270448,-142.750272164
16750000,-143.613887426,-142.675113492
16800000,-143.581636804,-142.690320939
16850000,-143.584983991,-142.654876552
16900000,-143.564247835,-142.662414888
16950000,-143.565301807,-142.581460558
17000000,-143.551076815,-142.604905532
17050000,-143.547778666,-142.602049841
17100000,-143.544484105,-142.547502459
17150000,-143.524864097,-142.573123909
17200000,-143.513976047,-142.494732593
17250000,-143.510256601,-142.547635841
17300000,-143.4985832,-142.60393031
17350000,-143.474463577,-142.56665246
17400000,-143.474504396,-142.57457169
17450000,-143.469011793,-142.520636483
17500000,-143.47180691,-142.501377594
17550000,-143.455249291,-142.484338023
17600000,-143.434161071,-142.55291951
17650000,-143.417592713,-142.569233205
17700000,-143.409137475,-142.433240495
17750000,-143.410484906,-142.465518434
17800000,-143.394051442,-142.39895665
17850000,-143.396356258,-142.415008197
17900000,-143.381878809,-142.41522593
