num_samples,L,Lvalid
50000,-197.28308237,-174.004724789
100000,-168.738168923,-164.584695514
150000,-164.895375151,-163.060272741
200000,-162.6270617,-160.977010538
250000,-160.471317878,-158.720102902
300000,-159.020144169,-157.590391679
350000,-158.145191886,-156.984250995
400000,-157.339527214,-156.163317123
450000,-156.593693649,-155.373068888
500000,-155.809493142,-154.532237574
550000,-154.978619199,-153.792729306
600000,-154.145861049,-153.008070926
650000,-153.31282,-152.154523769
700000,-152.531483728,-151.280207709
750000,-151.814901452,-150.588658105
800000,-151.118762666,-149.896617701
850000,-150.441565072,-149.267379191
900000,-149.802823974,-148.578058863
950000,-149.171882017,-147.869219893
1000000,-148.567137737,-147.333929559
1050000,-148.00249837,-146.906573184
1100000,-147.437140995,-146.284481278
1150000,-146.906776385,-145.607551214
1200000,-146.405138956,-145.21476699
1250000,-145.91367624,-144.757081549
1300000,-145.451745965,-144.383600762
1350000,-145.024600146,-143.839647937
1400000,-144.610945145,-143.450648703
1450000,-144.212889386,-143.15446205
1500000,-143.859558076,-142.798905904
1550000,-143.500215395,-142.49909047
1600000,-143.175774636,-142.030013234
1650000,-142.860030659,-141.876927447
1700000,-142.538752268,-141.429223446
1750000,-142.250441621,-141.332505482
1800000,-141.969700325,-141.069448505
1850000,-141.706716235,-140.749813522
1900000,-141.442391475,-140.417519775
1950000,-141.211955926,-140.176553839
2000000,-140.966246211,-140.087640666
2050000,-140.745984695,-139.680087106
2100000,-140.520336697,-139.516539232
2150000,-140.309992255,-139.270400986
2200000,-140.10238441,-139.099406582
2250000,-139.90618233,-138.929478677
2300000,-139.704858937,-138.836806942
2350000,-139.538958296,-138.667458048
2400000,-139.342700846,-138.429580142
2450000,-139.162600377,-138.306477005
2500000,-139.004188443,-138.072884561
2550000,-138.842441406,-137.907131282
2600000,-138.677722062,-137.843409638
2650000,-138.536387308,-137.762381618
2700000,-138.390261017,-137.503858738
2750000,-138.254635342,-137.455384283
2800000,-138.091367381,-137.313782876
2850000,-137.969037213,-137.222824314
2900000,-137.834674477,-137.001517047
2950000,-137.706145072,-136.832348449
3000000,-137.557955209,-136.78574749
3050000,-137.447784352,-136.683703072
3100000,-137.334128612,-136.561079968
3150000,-137.225275208,-136.375364774
3200000,-137.100661966,-136.3389038
3250000,-137.001151468,-136.163616002
3300000,-136.88734996,-136.064471778
3350000,-136.799563852,-136.046788302
3400000,-136.686028908,-135.892965936
3450000,-136.591298802,-135.856404572
3500000,-136.493849736,-135.736644544
3550000,-136.378638117,-135.566836642
3600000,-136.302823711,-135.509726055
3650000,-136.185071412,-135.486067398
3700000,-136.117718755,-135.395172255
3750000,-136.030655779,-135.347673078
3800000,-135.933685487,-135.113231847
3850000,-135.839488159,-135.060321305
3900000,-135.769139825,-135.099229871
3950000,-135.69674093,-134.958820243
4000000,-135.610543556,-134.854195627
4050000,-135.538782993,-134.754787395
4100000,-135.452836312,-134.811163326
4150000,-135.390536434,-134.618994742
4200000,-135.29797952,-134.517659084
4250000,-135.216932943,-134.541594641
4300000,-135.153183693,-134.450428861
4350000,-135.084269884,-134.505228687
4400000,-135.01786036,-134.295816982
4450000,-134.966889108,-134.283948684
4500000,-134.872171655,-134.222482905
4550000,-134.804348218,-134.169275824
4600000,-134.755899166,-134.121468822
4650000,-134.681723953,-134.020364369
4700000,-134.620910598,-133.913787058
4750000,-134.550774031,-133.878578895
4800000,-134.492826284,-133.809795447
4850000,-134.439405926,-133.777488737
4900000,-134.388120287,-133.681704854
4950000,-134.32265474,-133.602222382
5000000,-134.258480236,-133.674071606
5050000,-134.192906189,-133.592191679
5100000,-134.146661739,-133.46191301
5150000,-134.08261269,-133.508447027
5200000,-134.047234771,-133.440325567
5250000,-133.980955349,-133.349427518
5300000,-133.917443783,-133.341949764
5350000,-133.889325174,-133.296094957
5400000,-133.839969417,-133.18243787
5450000,-133.77000305,-133.130015458
5500000,-133.725999501,-133.104578768
5550000,-133.671538404,-133.104564625
5600000,-133.646217038,-132.974408802
5650000,-133.585986929,-132.940467159
5700000,-133.5421746,-132.929240449
5750000,-133.487714849,-132.884928354
5800000,-133.441306685,-132.840445218
5850000,-133.400377578,-132.722773492
5900000,-133.352314431,-132.751198035
5950000,-133.282826849,-132.776115297
6000000,-133.261487804,-132.704290289
6050000,-133.216255166,-132.604731247
6100000,-133.177751059,-132.592503168
6150000,-133.129118263,-132.591709053
6200000,-133.099958728,-132.532994866
6250000,-133.056679815,-132.477903302
6300000,-132.994431265,-132.428200963
6350000,-132.961660193,-132.355013376
6400000,-132.929362414,-132.359315944
6450000,-132.885846457,-132.310288711
6500000,-132.856126668,-132.293588368
6550000,-132.812078507,-132.287588398
6600000,-132.765220346,-132.180675812
6650000,-132.729121838,-132.203242077
6700000,-132.686688247,-132.139780292
